count,judge,statute,judge_total,stat_totals
130,JP_ODONNELL,2903.041,0,17
131,JP_ODONNELL,2903.05,0,5
132,JP_ODONNELL,2903.06,3,99
133,JP_ODONNELL,2903.08,11,367
134,JP_ODONNELL,2903.09,0,0
135,JP_ODONNELL,2903.11,161,6639
136,JP_ODONNELL,2903.13,95,3694
137,JP_ODONNELL,2903.21,64,2701
138,JP_ODONNELL,2905.01,87,4582
139,JP_ODONNELL,2905.02,31,1706
140,JP_ODONNELL,2950.05,19,944
141,JP_ODONNELL,2907.02,41,1561
142,JP_ODONNELL,2907.03,19,425
143,JP_ODONNELL,2907.04,13,430
144,JP_ODONNELL,2907.05,34,1253
145,JP_ODONNELL,2907.06,0,91
146,JP_ODONNELL,2907.07,4,187
147,JP_ODONNELL,2907.08,0,17
148,JP_ODONNELL,2907.09,1,51
149,JP_ODONNELL,2907.19,0,1
150,JP_ODONNELL,2907.21,2,38
151,JP_ODONNELL,2907.22,1,57
152,JP_ODONNELL,2907.31,5,164
153,JP_ODONNELL,2907.311,0,1
154,JP_ODONNELL,2907.32,4,304
155,JP_ODONNELL,2907.321,0,7
156,JP_ODONNELL,2907.322,3,249
157,JP_ODONNELL,2907.323,3,217
158,JP_ODONNELL,2909.02,5,196
159,JP_ODONNELL,2909.03,3,135
160,JP_ODONNELL,2909.04,24,1082
161,JP_ODONNELL,2909.05,35,1585
162,JP_ODONNELL,2909.06,63,2885
163,JP_ODONNELL,2909.09,0,4
164,JP_ODONNELL,2909.22,0,0
165,JP_ODONNELL,2909.23,0,6
166,JP_ODONNELL,2909.24,0,1
167,JP_ODONNELL,2909.26,0,0
168,JP_ODONNELL,2909.27,0,1
169,JP_ODONNELL,2913.02,247,11775
170,JP_ODONNELL,2913.03,16,759
171,JP_ODONNELL,2911.01,50,1999
172,JP_ODONNELL,2911.02,69,2966
173,JP_ODONNELL,2911.11,19,1355
174,JP_ODONNELL,2911.12,89,4536
175,JP_ODONNELL,2911.13,44,1953
176,JP_ODONNELL,2913.07,0,0
177,JP_ODONNELL,2913.04,1,107
178,JP_ODONNELL,2903.11,161,6639
179,JP_ODONNELL,2903.12,37,1765
180,JP_ODONNELL,2911.21,8,459
181,JP_ODONNELL,2913.05,5,318
182,JP_ODONNELL,2903.13,95,3694
183,JP_ODONNELL,2903.21,64,2701
184,JP_ODONNELL,2903.211,17,759
185,JP_ODONNELL,2903.31,0,0
186,JP_ODONNELL,2903.32,0,0
187,JP_ODONNELL,4511.19,0,0
188,JP_ODONNELL,2905.11,0,35
189,JP_ODONNELL,2905.32,1,10
190,JP_ODONNELL,2907.09,1,51
191,JP_ODONNELL,2909.02,5,196
192,JP_ODONNELL,2919.21,21,1023
193,JP_ODONNELL,2913.11,8,334
194,JP_ODONNELL,2913.21,22,837
195,JP_ODONNELL,2913.30,0,0
196,JP_ODONNELL,2913.31,31,1804
197,JP_ODONNELL,2913.40,0,4
198,JP_ODONNELL,2913.401,0,1
199,JP_ODONNELL,2913.42,21,1020
200,JP_ODONNELL,2913.421,0,0
201,JP_ODONNELL,2913.44,0,2
202,JP_ODONNELL,2913.46,7,323
203,JP_ODONNELL,2913.47,2,34
204,JP_ODONNELL,2913.48,1,39
205,JP_ODONNELL,2913.49,25,908
206,JP_ODONNELL,2913.51,81,3905
207,JP_ODONNELL,2915.02,0,25
208,JP_ODONNELL,2917.01,1,24
209,JP_ODONNELL,2917.02,3,55
210,JP_ODONNELL,2917.11,5,150
211,JP_ODONNELL,2917.21,7,504
212,JP_ODONNELL,2917.211,0,0
213,JP_ODONNELL,2917.31,2,97
214,JP_ODONNELL,2919.01,0,0
215,JP_ODONNELL,2919.10,0,0
216,JP_ODONNELL,2919.22,65,2274
217,JP_ODONNELL,2919.21,21,1023
218,JP_ODONNELL,2919.23,2,42
219,JP_ODONNELL,2919.25,180,7190
220,JP_ODONNELL,2919.27,10,423
221,JP_ODONNELL,2921.02,1,43
222,JP_ODONNELL,2921.03,3,66
223,JP_ODONNELL,2921.04,13,672
224,JP_ODONNELL,2921.11,1,8
225,JP_ODONNELL,2921.12,53,1916
226,JP_ODONNELL,2921.31,29,1161
227,JP_ODONNELL,2921.32,5,192
228,JP_ODONNELL,2921.33,70,2511
229,JP_ODONNELL,2921.34,32,1760
230,JP_ODONNELL,2921.36,12,514
231,JP_ODONNELL,2921.38,2,263
232,JP_ODONNELL,2921.41,1,31
233,JP_ODONNELL,2921.44,0,2
234,JP_ODONNELL,2921.45,0,2
235,JP_ODONNELL,2923.01,0,18
236,JP_ODONNELL,2923.02,0,2
237,JP_ODONNELL,2923.12,107,4548
238,JP_ODONNELL,2923.13,89,4605
239,JP_ODONNELL,2923.15,9,170
240,JP_ODONNELL,2923.20,8,150
241,JP_ODONNELL,2923.24,179,8509
242,JP_ODONNELL,2923.32,0,14
243,JP_ODONNELL,2923.42,2,53
244,JP_ODONNELL,2925.03,175,8016
245,JP_ODONNELL,2925.04,5,158
246,JP_ODONNELL,2925.06,0,0
247,JP_ODONNELL,2925.11,307,14050
248,JP_ODONNELL,2925.23,3,263
249,JP_ODONNELL,2927.01,1,29
250,JP_ODONNELL,2927.03,0,0
251,JP_ODONNELL,2927.12,0,29
252,JP_ODONNELL,2950.06,20,755
253,JP_ODONNELL,2963.24,0,2
254,T_MCCORMICK,2903.02,23,812
255,T_MCCORMICK,2903.03,1,45
256,T_MCCORMICK,2903.04,3,183
257,T_MCCORMICK,2903.041,0,17
258,T_MCCORMICK,2903.05,0,5
259,T_MCCORMICK,2903.06,4,99
260,T_MCCORMICK,2903.08,15,367
261,T_MCCORMICK,2903.09,0,0
262,T_MCCORMICK,2903.11,204,6639
263,T_MCCORMICK,2903.13,109,3694
264,T_MCCORMICK,2903.21,94,2701
265,T_MCCORMICK,2905.01,140,4582
266,T_MCCORMICK,2905.02,65,1706
267,T_MCCORMICK,2950.05,27,944
268,T_MCCORMICK,2907.02,53,1561
269,T_MCCORMICK,2907.03,10,425
270,T_MCCORMICK,2907.04,12,430
271,T_MCCORMICK,2907.05,40,1253
272,T_MCCORMICK,2907.06,1,91
273,T_MCCORMICK,2907.07,5,187
274,T_MCCORMICK,2907.08,0,17
275,T_MCCORMICK,2907.09,1,51
276,T_MCCORMICK,2907.19,0,1
277,T_MCCORMICK,2907.21,0,38
278,T_MCCORMICK,2907.22,2,57
279,T_MCCORMICK,2907.31,3,164
280,T_MCCORMICK,2907.311,0,1
281,T_MCCORMICK,2907.32,9,304
282,T_MCCORMICK,2907.321,1,7
283,T_MCCORMICK,2907.322,8,249
284,T_MCCORMICK,2907.323,5,217
285,T_MCCORMICK,2909.02,8,196
286,T_MCCORMICK,2909.03,3,135
287,T_MCCORMICK,2909.04,31,1082
288,T_MCCORMICK,2909.05,50,1585
289,T_MCCORMICK,2909.06,83,2885
290,T_MCCORMICK,2909.09,0,4
291,T_MCCORMICK,2909.22,0,0
292,T_MCCORMICK,2909.23,0,6
293,T_MCCORMICK,2909.24,0,1
294,T_MCCORMICK,2909.26,0,0
295,T_MCCORMICK,2909.27,0,1
296,T_MCCORMICK,2913.02,391,11775
297,T_MCCORMICK,2913.03,23,759
298,T_MCCORMICK,2911.01,56,1999
299,T_MCCORMICK,2911.02,96,2966
300,T_MCCORMICK,2911.11,41,1355
301,T_MCCORMICK,2911.12,167,4536
302,T_MCCORMICK,2911.13,58,1953
303,T_MCCORMICK,2913.07,0,0
304,T_MCCORMICK,2913.04,3,107
305,T_MCCORMICK,2903.11,204,6639
306,T_MCCORMICK,2903.12,50,1765
307,T_MCCORMICK,2911.21,15,459
308,T_MCCORMICK,2913.05,15,318
309,T_MCCORMICK,2903.13,109,3694
310,T_MCCORMICK,2903.21,94,2701
311,T_MCCORMICK,2903.211,21,759
312,T_MCCORMICK,2903.31,0,0
313,T_MCCORMICK,2903.32,0,0
314,T_MCCORMICK,4511.19,0,0
315,T_MCCORMICK,2905.11,1,35
316,T_MCCORMICK,2905.32,0,10
317,T_MCCORMICK,2907.09,1,51
318,T_MCCORMICK,2909.02,8,196
319,T_MCCORMICK,2919.21,51,1023
320,T_MCCORMICK,2913.11,9,334
321,T_MCCORMICK,2913.21,34,837
322,T_MCCORMICK,2913.30,0,0
323,T_MCCORMICK,2913.31,51,1804
324,T_MCCORMICK,2913.40,0,4
325,T_MCCORMICK,2913.401,0,1
326,T_MCCORMICK,2913.42,35,1020
327,T_MCCORMICK,2913.421,0,0
328,T_MCCORMICK,2913.44,0,2
329,T_MCCORMICK,2913.46,7,323
330,T_MCCORMICK,2913.47,0,34
